Sweep Type,Wavelength (m),Diameter (m),Resolution (deg),FOV (deg)
Lambda Sweep,0.05,3.0,0.0066,0.95
Lambda Sweep,0.0736842105263158,3.0,0.0098,1.41
Lambda Sweep,0.09736842105263158,3.0,0.0129,1.86
Lambda Sweep,0.12105263157894737,3.0,0.016,2.31
Lambda Sweep,0.14473684210526316,3.0,0.0192,2.76
Lambda Sweep,0.16842105263157897,3.0,0.0223,3.22
Lambda Sweep,0.19210526315789472,3.0,0.0255,3.67
Lambda Sweep,0.21578947368421053,3.0,0.0286,4.12
Lambda Sweep,0.23947368421052634,3.0,0.0317,4.57
Lambda Sweep,0.2631578947368421,3.0,0.0349,5.03
Lambda Sweep,0.2868421052631579,3.0,0.038,5.48
Lambda Sweep,0.3105263157894737,3.0,0.0412,5.93
Lambda Sweep,0.33421052631578946,3.0,0.0443,6.38
Lambda Sweep,0.35789473684210527,3.0,0.0474,6.84
Lambda Sweep,0.3815789473684211,3.0,0.0506,7.29
Lambda Sweep,0.4052631578947368,3.0,0.0537,7.74
Lambda Sweep,0.42894736842105263,3.0,0.0569,8.19
Lambda Sweep,0.45263157894736844,3.0,0.06,8.64
Lambda Sweep,0.4763157894736842,3.0,0.0631,9.1
Lambda Sweep,0.5,3.0,0.0663,9.55
Diameter Sweep,0.21,0.25,0.0278,48.13
Diameter Sweep,0.21,0.4473684210526316,0.0278,26.9
Diameter Sweep,0.21,0.6447368421052632,0.0278,18.66
Diameter Sweep,0.21,0.8421052631578947,0.0278,14.29
Diameter Sweep,0.21,1.0394736842105263,0.0278,11.58
Diameter Sweep,0.21,1.236842105263158,0.0278,9.73
Diameter Sweep,0.21,1.4342105263157894,0.0278,8.39
Diameter Sweep,0.21,1.631578947368421,0.0278,7.37
Diameter Sweep,0.21,1.8289473684210527,0.0278,6.58
Diameter Sweep,0.21,2.026315789473684,0.0278,5.94
Diameter Sweep,0.21,2.223684210526316,0.0278,5.41
Diameter Sweep,0.21,2.4210526315789473,0.0278,4.97
Diameter Sweep,0.21,2.6184210526315788,0.0278,4.6
Diameter Sweep,0.21,2.8157894736842106,0.0278,4.27
Diameter Sweep,0.21,3.013157894736842,0.0278,3.99
Diameter Sweep,0.21,3.210526315789474,0.0278,3.75
Diameter Sweep,0.21,3.4078947368421053,0.0278,3.53
Diameter Sweep,0.21,3.6052631578947367,0.0278,3.34
Diameter Sweep,0.21,3.8026315789473686,0.0278,3.16
Diameter Sweep,0.21,4.0,0.0278,3.01
